location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_knee_pain,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45043,2020-01-01,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.14,4.13,9.54,7.12,12.39,,5.27,7.26,,3.7,,5.27,5.13,2.28,3.99,2.14,,4.27,2.28,18.8,3.42,10.82,3.85,2.42,4.42,,7.83,4.84,3.13,,3.85,6.27,4.42,2.42,6.12,4.42,1.99,6.12,,4.56,9.83,2.14,24.78,5.98,,7.83,,3.13,3.56,4.13,1.99,2.28,5.55,41.3,,,,,,3.42,5.27,6.55,,,2.28,,6.84,3.85,6.27,,3.85,3.13,2.28,9.5,4.549383,14.660494,0.0,0.479167,53.913741
US_SC_45043,2020-01-02,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.7,5.8,10.67,7.56,12.83,,6.48,6.08,2.83,2.43,3.1,7.96,2.56,2.56,2.43,2.7,,2.83,2.56,15.26,2.97,10.94,3.38,3.92,5.67,,9.99,3.92,2.29,2.16,4.05,6.08,4.32,,5.8,3.38,1.89,5.13,1.89,4.72,10.26,,28.49,7.83,3.38,8.64,,3.78,5.26,4.05,2.83,2.97,6.48,42.93,,,,2.43,3.1,2.02,5.26,6.21,2.02,2.43,3.51,3.65,7.02,5.94,5.4,4.72,4.05,3.92,2.97,8.882716,4.703704,13.981481,0.0,4.083333,72.214465
US_SC_45043,2020-01-03,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,3.03,5.1,8.68,6.48,10.34,2.76,7.58,7.99,3.72,1.93,2.07,6.75,2.89,,4.96,2.21,,4.55,,17.36,4.96,10.89,2.07,3.03,4.0,2.76,11.44,6.06,2.07,3.03,4.0,4.82,4.69,2.07,4.0,5.1,1.93,6.06,3.45,3.45,11.44,1.93,27.15,7.03,3.31,6.2,2.07,3.45,3.17,5.38,,2.89,5.65,43.97,,3.31,,2.21,3.86,3.31,6.34,6.48,2.21,2.34,3.17,2.07,7.17,4.82,6.48,3.58,3.45,3.72,3.17,17.45679,9.938272,22.135802,0.0,14.770833,84.538557
US_SC_45043,2020-01-04,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,3.16,5.88,8.32,6.17,10.47,,5.88,9.61,,3.16,,8.89,5.45,2.58,3.59,,3.01,3.44,,14.49,3.73,9.75,3.16,3.3,3.73,,7.03,4.16,,,5.31,4.45,5.16,3.73,4.02,4.73,2.44,5.31,2.01,3.59,7.17,,22.81,5.88,2.73,8.03,2.58,3.73,4.02,5.88,3.01,,5.88,44.61,,2.01,2.44,,2.58,3.44,5.31,6.6,2.29,2.58,3.73,2.15,5.16,3.16,4.45,3.16,2.15,3.59,3.01,18.796296,15.820988,21.234568,1.1176,16.368056,86.1707
US_SC_45043,2020-01-05,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,3.45,4.95,9.16,3.9,11.11,,7.35,6.3,3.6,2.4,,4.65,3.9,2.7,3.75,2.1,2.7,3.45,,16.51,5.4,10.06,3.6,2.55,6.3,2.7,6.6,3.3,2.55,3.75,3.15,4.65,3.75,4.2,3.45,4.05,,4.05,3.0,3.9,7.2,,26.42,7.05,3.6,9.31,,4.65,4.5,3.75,2.7,4.65,7.8,43.68,,3.15,,,,2.1,3.6,7.05,,3.45,3.45,,6.75,3.45,6.45,2.55,5.25,4.35,,9.728395,3.796296,17.345679,2.709333,-0.229167,50.226589
US_SC_45043,2020-01-06,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.59,5.46,9.42,6.14,13.24,2.05,9.01,9.28,4.37,2.73,2.87,6.28,3.69,3.0,4.5,,2.32,4.37,3.28,17.2,4.09,10.37,3.41,3.14,5.05,2.87,9.28,3.0,3.41,2.46,3.82,5.87,5.32,2.59,5.19,4.23,,4.5,4.5,5.32,9.14,2.59,31.53,9.01,3.55,9.14,,4.09,4.09,4.91,,,6.14,47.91,,2.05,,,2.87,3.14,4.37,6.01,,3.0,3.0,3.69,5.87,4.91,6.83,5.32,,3.69,,7.95679,3.074074,16.351852,0.0,2.0,66.643465
US_SC_45043,2020-01-07,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,4.18,2.92,7.61,5.07,11.28,2.66,7.61,7.86,2.03,2.28,2.28,7.1,4.31,,3.42,,,5.32,,14.2,4.06,8.62,3.3,3.42,3.93,2.03,13.06,3.42,1.77,2.66,4.69,5.7,3.42,2.79,5.58,4.31,,5.2,3.42,3.68,10.52,2.15,23.07,5.83,3.55,7.99,2.41,4.18,3.68,7.23,2.41,2.92,6.34,39.04,,2.28,1.9,,3.17,2.28,5.2,5.83,,3.68,1.77,4.94,5.83,8.11,7.61,4.18,,3.55,,10.006173,4.154321,18.790123,0.0,5.479167,74.291123
US_SC_45043,2020-01-08,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,1.8,4.24,5.91,4.49,11.3,3.72,8.47,6.8,3.47,3.85,2.7,7.58,4.88,2.7,4.11,,2.83,3.6,2.18,12.97,4.88,10.02,2.83,3.98,4.24,2.31,10.4,5.26,2.05,2.05,5.39,6.55,4.62,,3.85,5.52,,5.01,3.6,4.62,10.02,,32.49,6.16,4.24,6.29,2.05,2.44,5.52,4.62,3.72,,4.62,39.42,,2.18,,3.72,2.95,2.18,5.39,11.81,1.8,2.57,2.7,3.08,7.19,5.91,7.45,3.34,2.18,3.98,3.47,8.419753,1.024691,17.709877,0.0,0.638889,58.849476
US_SC_45043,2020-01-09,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,,3.93,9.01,4.19,10.02,3.3,8.88,8.12,2.28,5.58,,5.71,3.68,2.03,5.07,,2.41,4.31,1.9,15.09,2.41,9.51,2.03,3.3,4.69,3.3,10.78,3.68,1.9,2.41,3.17,4.57,3.81,2.54,3.42,4.44,,4.44,2.66,2.79,9.77,1.78,28.03,6.21,4.06,6.09,,2.79,6.47,5.71,2.16,,6.72,43.76,1.78,2.16,,,2.66,2.54,4.44,10.02,,1.9,1.9,2.66,6.21,6.34,5.45,2.66,3.17,2.79,1.78,8.444444,1.709877,16.753086,0.0,2.090278,65.25263
US_SC_45043,2020-01-10,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,,6.11,9.62,5.46,12.49,,5.2,6.89,1.95,4.81,1.82,5.98,4.03,,4.16,2.21,2.6,2.47,,15.35,3.38,8.59,3.9,2.86,4.29,2.6,9.37,3.77,,2.34,4.16,3.9,2.47,2.21,5.72,5.2,,4.03,1.82,2.86,11.32,2.08,22.76,5.72,3.9,5.85,1.82,3.38,4.29,4.68,2.73,2.73,5.33,40.71,,2.47,,2.08,2.86,3.12,4.16,8.2,,,2.08,2.47,6.24,4.29,5.85,3.64,3.25,5.07,4.03,14.271605,8.561728,21.58642,0.0,10.520833,78.543491
