location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21101,2020-01-01,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,,5.38,9.28,6.12,10.95,6.87,3.9,,4.27,4.64,3.53,,3.15,15.22,3.34,11.88,2.6,4.64,6.12,7.05,2.6,6.68,3.53,2.6,2.6,4.08,3.71,5.2,28.21,5.57,,5.57,3.15,3.34,3.9,4.83,34.52,3.53,5.75,3.53,5.57,5.01,5.38,3.53,4.08,3.9,2.78,4.154321,-1.358025,11.179012,0.0,,-2.018519,64.565947
US_KY_21101,2020-01-02,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,2.56,5.81,7.35,4.44,11.11,7.35,6.66,,3.42,5.98,5.81,,3.42,18.79,2.9,12.98,2.9,6.15,6.49,4.78,4.1,4.61,4.96,3.93,2.9,4.78,3.25,10.42,30.58,8.54,2.9,6.66,3.08,4.61,3.93,4.96,38.61,3.59,7.69,3.08,7.0,4.78,4.27,5.64,5.81,2.73,4.61,7.358025,2.777778,10.574074,1.487714,,1.537037,66.910756
US_KY_21101,2020-01-03,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,,4.93,8.17,3.57,10.21,5.96,2.55,3.23,5.45,7.15,3.57,3.4,4.08,19.23,3.4,12.08,3.57,4.76,11.74,4.25,4.08,5.45,5.62,5.79,2.72,4.42,2.89,7.83,30.63,7.32,3.23,8.34,4.42,5.11,5.11,6.47,43.39,5.96,8.17,4.25,4.76,3.74,6.3,2.89,4.25,3.06,,9.58642,6.080247,10.765432,11.284857,,9.246914,97.7798
US_KY_21101,2020-01-04,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,2.92,5.83,10.21,4.56,8.02,7.84,4.01,,3.83,6.2,4.37,,3.28,22.42,3.46,12.57,2.55,5.65,12.57,3.1,3.83,5.47,5.29,4.19,4.92,5.1,4.56,7.84,24.42,6.01,4.01,6.56,4.92,,5.65,5.29,36.63,3.46,3.65,,3.83,4.37,7.84,3.65,4.19,,,3.765432,1.555556,7.679012,3.193143,,1.833333,87.32064
US_KY_21101,2020-01-05,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,,6.98,9.0,4.22,8.63,7.17,5.33,2.57,4.04,7.35,4.78,3.67,3.67,17.45,3.12,13.78,3.86,4.22,7.9,3.86,3.67,5.7,6.43,4.59,2.57,5.51,2.94,5.51,28.11,7.53,5.33,7.9,,5.33,4.78,4.22,42.99,4.04,6.8,3.12,4.78,3.86,4.41,3.49,2.76,3.12,3.49,2.91358,-2.925926,11.765432,0.705556,,-1.203704,74.495803
US_KY_21101,2020-01-06,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,2.14,4.13,7.5,3.98,8.42,7.5,4.44,2.6,3.67,4.13,2.45,3.06,2.14,15.62,3.52,12.55,3.37,4.75,8.11,5.82,3.52,4.29,3.06,2.91,2.14,6.58,2.91,7.66,26.33,6.28,3.52,6.28,,5.97,2.6,6.74,35.21,4.59,7.2,,4.13,3.37,4.75,2.3,3.21,5.82,2.3,3.981481,-2.845679,9.746914,0.197556,,-2.283951,63.915064
US_KY_21101,2020-01-07,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,,5.61,7.08,3.69,11.8,16.23,6.34,,4.72,4.13,4.13,2.8,3.1,14.75,2.21,10.32,3.25,5.46,7.08,4.13,4.42,4.42,6.34,4.72,3.98,6.34,2.21,9.59,25.66,6.64,2.65,4.72,2.65,6.49,4.42,4.57,36.14,3.83,7.38,2.36,5.31,3.25,5.16,2.65,3.25,3.25,2.51,2.802469,-3.388889,9.123457,0.03175,,-3.049383,65.75865
US_KY_21101,2020-01-08,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,2.54,4.93,7.17,3.44,10.31,9.56,4.63,,5.53,6.72,4.03,2.69,,17.78,3.73,9.56,2.84,4.18,8.52,4.33,4.33,5.83,5.53,4.03,2.24,3.88,4.48,7.47,31.97,5.38,5.98,5.83,3.59,4.48,3.88,6.13,36.16,2.84,9.56,3.14,6.13,3.73,5.53,3.59,3.44,2.84,3.59,3.240741,-1.401235,8.376543,0.0,,-5.598765,52.527456
US_KY_21101,2020-01-09,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,3.11,5.03,7.1,5.03,10.5,9.32,3.99,2.81,4.88,3.99,4.58,2.81,,23.81,3.25,16.27,,5.18,8.43,4.58,3.4,6.66,5.18,,2.81,5.03,5.18,7.1,34.16,5.92,5.18,6.51,3.11,3.99,5.47,4.58,40.67,2.96,10.35,,6.51,6.8,5.47,5.18,2.22,2.81,3.25,6.691358,0.493827,13.808642,0.0,,-3.240741,49.689309
US_KY_21101,2020-01-10,ChIJ3SBkzwkhcIgRwigEybGQbwc,Q491894,geoId/21101,US,United States of America,KY,Kentucky,21101,Henderson County,US,USA,2,,,,,,,45867,22161,23706,5766,5792,5492,5694,5562,6512,5846,3355,1848,1846532,37.8,-87.57,1210,74.972727,,,,,,5.61,5.75,2.44,10.06,8.63,4.46,,,4.74,4.03,2.16,2.3,16.1,4.03,10.21,2.01,4.89,7.62,6.04,2.59,5.03,5.61,,3.74,3.59,,8.34,24.73,6.47,2.59,6.33,3.16,4.31,3.88,5.46,32.78,3.45,6.47,,4.74,3.74,2.73,3.31,3.31,3.74,3.45,12.888889,8.561728,15.512346,13.897429,,8.419753,75.409795
