location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26149,2020-01-01,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,,5.53,6.87,4.03,8.07,,7.47,7.02,2.39,3.29,5.68,3.73,2.84,3.14,,2.54,14.79,3.88,8.81,4.03,,3.73,2.54,7.92,5.97,2.54,,4.63,3.44,,3.29,3.29,4.03,2.84,6.12,21.51,4.78,3.14,6.42,3.29,,3.14,2.54,2.99,3.73,34.95,,3.58,3.73,3.73,2.09,5.08,4.03,5.08,2.54,4.18,,2.84,-1.469136,-3.987654,2.425926,0.141111,50.8,-5.722222,72.873448
US_MI_26149,2020-01-02,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,,4.39,6.95,4.25,9.92,,5.1,4.68,2.83,3.4,6.8,2.55,,2.98,2.27,2.69,17.29,4.68,11.06,3.54,3.4,4.25,,9.07,4.82,2.83,2.98,4.25,5.95,2.27,4.96,5.25,5.1,3.26,4.82,29.48,5.95,2.27,7.37,2.27,4.11,4.11,,,3.54,37.71,,4.54,7.66,2.41,2.13,4.96,3.69,5.39,2.98,3.54,3.4,,4.388889,-0.961111,7.855556,0.0,50.8,-1.277778,66.712277
US_MI_26149,2020-01-03,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,2.26,4.66,5.64,2.96,9.74,2.4,7.34,3.53,1.98,3.53,6.21,2.82,1.98,2.54,2.12,2.68,14.82,3.53,8.75,3.67,3.1,4.38,3.25,9.6,3.53,2.12,3.67,3.67,2.96,,5.36,2.4,5.5,5.08,5.79,24.13,7.48,2.96,7.9,3.1,5.08,4.23,3.81,,4.09,35.28,2.68,4.52,6.63,,,5.22,3.67,3.67,2.26,3.25,3.67,2.82,4.561111,1.927778,7.183333,0.0,,2.55,86.860991
US_MI_26149,2020-01-04,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,2.38,4.47,6.55,2.23,7.89,,6.11,5.36,,,5.81,2.83,2.08,4.62,2.08,2.08,17.42,4.02,9.83,3.13,,2.38,2.08,7.3,4.17,,3.13,4.62,4.91,2.38,2.23,2.38,5.06,2.08,7.45,22.34,4.62,3.72,5.06,3.28,3.28,4.32,2.53,,4.02,35.89,,4.02,3.13,2.38,2.08,4.91,3.87,3.87,,2.08,3.72,2.38,0.905556,-0.683333,4.116667,0.042333,,-2.027778,81.007504
US_MI_26149,2020-01-05,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,2.05,5.71,6.45,3.22,7.47,,8.21,3.81,,2.49,4.25,2.49,2.05,3.22,,,14.8,4.84,11.72,3.08,3.66,3.81,,4.25,6.59,,2.78,4.1,2.78,2.35,4.1,4.25,7.03,3.37,4.25,22.86,4.98,3.52,6.3,,3.22,4.54,2.49,3.22,4.69,35.31,2.78,3.81,7.77,,,4.98,2.2,3.81,,2.2,4.1,3.08,-0.216667,-2.555556,4.316667,0.465667,,-4.577778,72.487078
US_MI_26149,2020-01-06,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,2.56,4.26,3.29,3.04,7.67,,8.65,3.04,,2.68,5.6,2.92,,2.8,,2.8,15.46,3.17,10.47,,,4.75,,7.92,4.14,2.44,1.83,3.65,3.77,2.56,2.92,4.14,3.53,2.19,5.24,21.55,6.82,3.17,5.6,3.41,3.65,4.02,,2.19,2.44,33.24,2.68,3.04,4.87,2.56,1.95,3.29,3.53,3.41,2.19,3.17,3.17,2.68,2.205556,-2.438889,6.177778,0.03175,,-4.077778,63.311853
US_MI_26149,2020-01-07,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,2.6,2.97,5.45,4.08,9.16,1.98,7.67,4.46,2.35,2.85,2.35,3.22,,3.84,,2.6,13.86,1.86,9.9,1.73,,5.57,,7.67,2.97,1.73,,4.7,3.09,,2.48,3.34,3.59,2.1,5.82,23.14,5.69,2.72,5.2,,4.58,3.71,1.86,,3.34,29.82,,3.09,3.59,2.35,2.72,3.71,3.59,4.46,,,2.72,2.23,0.311111,-3.955556,5.272222,0.0,,-5.194444,66.617718
US_MI_26149,2020-01-08,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,,3.73,5.78,3.73,7.11,1.81,5.66,4.34,1.81,3.98,4.82,2.05,,3.25,,,12.29,2.77,7.11,,,3.01,2.17,7.47,4.7,2.17,2.17,3.61,4.22,3.37,4.34,2.89,3.13,2.41,3.98,26.87,4.34,3.13,5.06,2.53,4.94,2.05,,1.81,5.9,28.31,,4.22,8.43,1.93,,3.49,3.01,,1.81,3.25,3.37,2.89,-3.194444,-7.822222,3.077778,0.0635,,-9.338889,62.563481
US_MI_26149,2020-01-09,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,2.19,3.9,2.93,2.56,8.41,,6.22,5.49,2.44,3.29,4.39,2.56,,2.32,,3.17,15.12,1.83,7.07,2.44,2.07,4.27,,6.71,3.42,2.07,3.54,3.66,3.05,2.44,2.81,2.81,3.54,1.95,5.73,26.1,5.49,1.83,6.1,3.66,3.42,3.42,2.07,1.95,5.24,33.29,1.83,3.17,7.93,2.81,,5.24,4.02,3.17,,4.15,1.71,2.07,-1.372222,-7.855556,9.155556,0.0,,-8.255556,59.551621
US_MI_26149,2020-01-10,ChIJB_ywuOirF4gRKE3yRl5EVQQ,Q167589,geoId/26149,US,United States of America,MI,Michigan,26149,St. Joseph County,US,USA,2,,,,,,,60710,30185,30525,8061,8227,7231,6945,6965,8493,7750,4474,2564,1801751,41.92,-85.53,1350,76.629412,,,,,,4.01,4.25,3.3,7.79,,5.19,4.37,,2.95,4.01,2.6,2.6,1.77,1.77,1.77,13.22,,8.03,2.83,,3.78,,6.96,2.6,,1.77,2.6,2.95,2.01,2.6,2.71,3.19,1.77,5.08,24.31,4.96,2.12,6.02,2.95,4.37,3.54,3.9,,4.37,28.68,2.36,5.67,7.55,2.48,4.01,4.49,3.3,2.36,,2.24,2.71,,8.505556,6.694444,10.15,0.465667,,5.3,80.394854
