location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48427,2020-01-01,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,5.66,7.76,6.92,7.34,7.96,,,5.66,5.87,,17.82,,13.0,3.14,5.45,5.87,4.61,6.29,6.71,5.03,4.61,3.77,3.98,4.4,24.32,7.13,3.77,9.85,,,4.82,4.19,37.31,4.82,7.76,5.24,,6.29,4.82,,14.320988,12.574074,16.395062,1.397,10.416667,77.74628
US_TX_48427,2020-01-02,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,7.25,13.71,3.53,11.17,8.82,5.09,,6.66,6.27,,21.16,4.7,15.67,3.92,6.66,8.82,5.29,5.49,6.07,3.53,5.49,6.46,3.33,4.7,24.1,9.6,3.53,9.99,3.53,,6.27,6.27,43.69,4.11,6.46,6.86,5.09,4.9,4.51,,16.283951,13.790123,20.91358,5.0165,14.1875,87.608476
US_TX_48427,2020-01-03,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,6.04,11.67,,10.47,6.44,4.23,,4.83,4.03,,18.52,,11.07,4.03,3.22,8.65,4.23,5.63,6.84,2.82,6.44,3.82,4.03,8.45,26.37,6.24,3.62,7.85,2.82,3.62,3.02,4.63,40.45,7.65,7.04,6.64,,7.25,2.82,,17.17284,12.944444,23.098765,0.0,9.173611,59.844331
US_TX_48427,2020-01-04,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,5.78,10.91,3.42,9.62,7.27,2.99,,5.56,5.56,,16.47,,13.26,3.85,5.99,10.27,5.56,3.21,7.91,3.85,6.42,6.42,2.99,7.27,22.24,6.84,,8.77,,3.42,6.84,4.92,45.77,,5.99,8.13,,6.84,3.21,4.28,15.240741,6.592593,23.080247,0.0,2.0625,41.093125
US_TX_48427,2020-01-05,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,8.58,13.39,4.39,12.98,5.86,3.77,,3.77,5.23,4.81,17.58,,14.02,3.56,5.65,8.79,5.65,4.81,8.16,3.14,6.91,6.28,,9.42,23.23,6.49,3.14,7.12,2.93,3.14,,6.28,43.53,5.44,6.7,6.91,5.23,6.07,5.86,4.19,13.950617,4.765432,24.635802,0.0,4.6875,53.745284
US_TX_48427,2020-01-06,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,5.55,14.46,2.77,11.49,8.12,6.14,,5.75,3.96,2.77,17.04,,9.91,7.92,6.74,8.12,3.37,6.54,5.15,4.95,5.35,2.77,,9.71,25.36,6.34,5.75,8.12,4.36,4.16,3.57,4.95,48.15,3.96,5.94,6.14,4.16,3.77,2.97,4.16,16.024691,7.419753,26.216049,0.0,8.541667,61.404559
US_TX_48427,2020-01-07,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,6.13,13.06,,11.08,10.68,3.36,3.36,5.54,3.76,,14.44,2.97,11.08,3.96,4.55,9.69,4.16,6.13,5.74,4.75,4.35,6.13,4.16,8.31,25.32,8.51,4.35,8.11,,3.76,3.76,4.55,41.15,,4.75,4.95,5.34,5.14,3.56,2.97,16.123457,11.098765,22.611111,0.0,7.5,58.237869
US_TX_48427,2020-01-08,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,6.94,13.48,3.57,10.51,10.11,6.14,,5.95,5.95,5.15,21.41,4.36,12.88,2.97,4.36,8.92,5.15,3.57,6.74,4.76,4.96,6.34,5.75,8.72,52.73,7.93,4.96,6.54,3.17,4.76,5.75,3.77,44.2,4.56,29.34,7.53,3.77,5.15,4.36,,14.401235,7.17284,23.45679,0.22225,7.4375,63.279211
US_TX_48427,2020-01-09,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,9.25,10.45,,12.87,11.66,5.43,3.22,5.83,5.63,3.42,14.27,6.03,12.06,5.63,5.03,10.86,5.43,6.03,9.05,4.42,4.62,6.23,,9.25,42.62,6.03,3.62,9.25,,3.22,4.42,4.42,44.02,5.63,19.9,4.83,,4.83,4.22,3.42,21.376543,18.123457,28.216049,0.0,16.493056,73.665114
US_TX_48427,2020-01-10,ChIJg6FMUelHZIYRnY5USnf4v1w,Q26762,geoId/48427,US,United States of America,TX,Texas,48427,Starr County,US,USA,2,,,,,,,64130,31195,32935,12292,10998,9833,7713,7559,6132,4644,3191,1768,1828256,26.57,-98.73,3184,77.392308,,,,,,7.75,11.62,,12.05,6.89,6.46,,8.61,4.73,,16.57,3.87,11.62,4.3,5.59,11.62,4.95,5.17,6.24,6.67,3.87,7.96,5.81,8.61,37.44,6.67,3.23,6.67,4.3,3.87,4.3,4.73,46.05,3.87,10.54,6.03,7.32,6.03,3.87,3.23,23.271605,20.074074,28.654321,0.0,18.083333,72.649216
