location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_parks,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54075,2020-01-01,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,42.9,2.433333,-0.038889,5.905556,0.028222,,-3.87037,61.495654
US_WV_54075,2020-01-02,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,53.41,3.133333,-3.027778,11.705556,0.0,,-4.012346,59.017485
US_WV_54075,2020-01-03,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,54.38,9.877778,6.588889,12.211111,4.172857,,8.203704,88.367077
US_WV_54075,2020-01-04,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,60.84,9.755556,3.733333,14.277778,5.624286,,8.314815,89.127186
US_WV_54075,2020-01-05,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,62.52,1.7,-0.505556,6.305556,7.003143,,-1.790123,75.140382
US_WV_54075,2020-01-06,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,49.99,3.75,-2.105556,7.666667,0.6096,30.48,-3.197531,59.033724
US_WV_54075,2020-01-07,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,54.3,-1.744444,-5.305556,4.777778,0.943429,50.8,-5.117284,76.868339
US_WV_54075,2020-01-08,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,40.19,0.594444,-4.827778,3.533333,5.043714,50.8,-6.253086,59.272735
US_WV_54075,2020-01-09,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,53.11,-0.938889,-7.605556,8.238889,0.0508,99.06,-9.87037,50.469598
US_WV_54075,2020-01-10,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,48.86,6.811111,-0.366667,13.927778,0.0,78.74,-0.339506,61.714502
US_WV_54075,2020-01-11,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,41.88,14.811111,9.594444,19.877778,1.072444,50.8,10.098765,73.836833
US_WV_54075,2020-01-12,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,79.87,13.05,6.455556,19.55,15.3035,,7.925926,69.714209
US_WV_54075,2020-01-13,ChIJbUD86b5wS4gRH-bw5k6Tteo,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,,,,,,,8493,4363,4130,844,776,860,915,946,1337,1393,931,491,2535273,38.32,-80.01,815,2439,75.233333,,,,53.0,6.55,2.15,13.427778,0.4572,,2.901235,78.350767
