location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17195,2020-01-01,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.87,5.17,8.76,5.46,9.04,2.15,5.74,4.16,,3.3,5.6,4.74,2.3,2.15,,,16.08,2.01,9.62,4.02,4.16,,7.18,5.46,,2.87,3.59,4.16,,3.88,3.01,5.31,3.3,3.3,23.83,4.59,5.88,7.75,3.44,2.58,4.59,,2.44,5.17,35.02,,2.3,4.59,3.88,2.44,6.32,3.88,2.3,3.59,4.02,4.59,4.16,-1.988889,-7.855556,5.622222,0.2286,30.48,-4.845679,80.364755
US_IL_17195,2020-01-02,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.31,3.4,8.71,2.99,11.71,2.59,4.9,5.72,2.99,3.67,5.04,3.67,2.72,2.72,,3.54,17.56,4.63,9.94,2.99,4.36,,7.08,4.9,2.45,,4.49,3.81,1.91,4.9,4.08,5.31,4.49,7.62,27.36,5.85,2.72,8.44,3.67,2.45,3.4,2.31,,4.63,35.12,,3.95,7.35,2.04,3.27,6.4,4.63,2.72,,2.99,2.59,2.86,4.344444,1.411111,8.494444,0.0,30.48,0.0,73.036263
US_IL_17195,2020-01-03,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.15,3.89,5.77,2.95,8.19,2.82,5.5,5.24,2.42,2.55,6.85,4.16,,2.42,,,16.11,3.22,9.67,1.88,3.76,2.55,8.86,2.15,2.01,2.55,4.7,3.36,2.82,3.36,2.82,3.76,3.22,5.24,24.84,5.64,4.3,5.5,3.22,2.95,4.03,4.7,2.82,3.89,37.46,,2.42,4.7,2.42,2.15,4.03,4.43,5.64,3.49,3.62,2.69,2.42,1.561111,-0.044444,5.061111,0.0,,-0.746914,84.689119
US_IL_17195,2020-01-04,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.44,4.74,7.6,3.73,9.9,,5.74,2.87,2.15,2.73,5.45,3.73,,3.59,,2.3,16.21,2.87,9.04,2.3,4.16,,5.17,3.16,,2.44,4.88,4.16,3.01,5.17,3.73,4.02,4.74,5.17,22.67,5.31,3.44,6.6,2.01,6.17,4.3,,,4.02,38.45,,2.58,3.44,2.87,,6.74,2.01,4.3,2.15,3.87,2.87,2.44,-0.666667,-3.638889,0.905556,1.905,,-2.234568,89.094821
US_IL_17195,2020-01-05,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.53,4.93,7.32,4.36,8.59,,6.47,4.93,,,7.74,3.38,3.38,3.66,,2.81,15.48,4.08,7.18,4.79,3.66,,7.74,4.93,,1.97,3.94,5.77,3.24,6.33,2.39,5.49,4.93,6.05,22.66,7.46,2.96,6.62,3.66,,5.49,2.25,2.25,2.81,38.0,2.11,2.53,6.33,3.1,,4.93,5.49,2.67,1.97,4.79,3.38,,-0.933333,-5.177778,6.394444,0.366889,50.8,-3.518519,82.084632
US_IL_17195,2020-01-06,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,,4.29,6.38,3.56,8.96,,6.13,3.56,,2.94,4.42,4.29,2.21,3.56,,1.72,15.82,3.56,9.32,3.07,2.09,,6.87,4.05,2.21,3.68,5.52,5.4,1.96,3.19,3.31,4.17,3.56,6.38,23.06,6.5,2.82,5.52,2.21,3.8,4.05,,3.07,5.28,29.32,,1.96,4.91,3.8,2.21,4.05,2.82,2.58,2.09,3.56,3.19,2.45,-0.627778,-5.388889,3.738889,0.0,50.8,-4.728395,73.897384
US_IL_17195,2020-01-07,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.87,5.5,4.9,2.99,9.81,2.27,7.53,4.54,1.79,3.35,3.83,4.07,2.03,4.07,2.15,1.79,12.68,2.87,8.73,,3.23,2.15,9.21,5.02,1.79,3.47,2.39,3.35,1.79,3.47,3.59,5.14,1.67,5.98,21.17,5.26,2.03,5.98,2.51,1.67,3.83,2.39,1.91,4.07,34.8,1.67,3.11,4.9,2.27,3.11,6.22,2.99,3.83,,2.39,3.83,2.75,-0.305556,-3.922222,3.272222,0.0,,-4.08642,75.874969
US_IL_17195,2020-01-08,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.13,5.56,4.5,4.14,7.58,1.66,6.27,5.68,2.37,5.8,4.73,3.79,2.37,3.31,,2.6,14.32,3.31,8.17,2.96,3.79,,9.11,3.43,2.13,2.6,3.67,4.02,2.72,4.5,3.08,5.92,3.67,6.75,30.3,6.87,3.08,5.56,2.25,5.8,5.21,2.96,,4.38,31.96,,3.91,10.18,1.89,2.96,4.5,5.21,3.55,4.14,2.72,3.08,1.89,-5.472222,-10.355556,0.977778,0.0,,-11.895062,60.654782
US_IL_17195,2020-01-09,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,2.14,3.92,7.0,3.44,5.7,3.08,5.82,6.17,,3.92,4.63,3.68,2.97,3.2,,,13.29,4.27,9.38,2.73,3.68,1.78,8.19,4.98,2.25,3.2,4.63,3.92,,4.15,1.66,3.08,3.08,6.05,29.31,5.7,2.73,6.76,2.49,3.68,3.44,2.49,2.02,6.05,32.04,,2.61,9.97,2.37,3.32,4.04,4.15,3.2,2.02,2.73,2.85,2.97,1.038889,-6.955556,11.177778,0.0,,-4.296296,66.593192
US_IL_17195,2020-01-10,ChIJ00XrpMTbCYgR4cwLAD2byNs,Q490972,geoId/17195,US,United States of America,IL,Illinois,17195,Whiteside County,US,USA,2,,,,,,,55955,27695,28260,6584,7104,6213,6045,6651,7910,7623,4678,3147,1357318,41.75,-89.91,697,78.133333,,,,,,3.62,5.32,3.5,6.16,4.47,6.04,3.99,2.05,3.38,3.38,4.11,2.3,3.26,,,13.29,2.42,6.04,,3.87,2.17,6.77,4.83,2.3,2.17,5.2,4.35,4.83,4.59,4.35,5.68,4.23,5.8,23.2,4.11,2.42,5.2,2.17,3.5,5.07,2.54,1.81,3.38,29.6,,3.38,7.01,2.17,2.05,3.5,4.71,3.14,3.99,2.54,2.66,2.17,4.75,-0.488889,10.372222,0.254,,2.32716,85.103648
